default,loan_amnt,int_rate,grade,purpose,loan_percent_income,person_age,annual_inc,home_ownership,emp_length,prior_default,credit_history
1,15000,16.32,E,VENTURE,0.23,24,65000,RENT,8.0,1,4
1,25000,15.95,D,DEBTCONSOLIDATION,0.35,27,72000,RENT,3.0,1,6
0,5000,7.49,A,DEBTCONSOLIDATION,0.17,21,28800,MORTGAGE,0.0,0,3
0,10000,15.62,D,PERSONAL,0.11,30,90000,RENT,14.0,1,6
0,4500,6.54,A,PERSONAL,0.07,30,61000,MORTGAGE,4.0,0,6
0,10000,20.99,F,PERSONAL,0.08,25,120000,MORTGAGE,2.0,0,4
0,3000,13.72,C,EDUCATION,0.07,22,43200,RENT,4.0,1,3
1,8000,16.49,D,EDUCATION,0.18,33,45000,MORTGAGE,3.0,0,7
0,12600,10.99,A,VENTURE,0.09,29,140000,MORTGAGE,13.0,0,6
1,6750,17.27,D,MEDICAL,0.16,25,42000,RENT,2.0,0,2
0,1000,11.99,B,VENTURE,0.03,25,35000,RENT,9.0,0,3
0,3000,7.49,A,VENTURE,0.03,24,110400,MORTGAGE,8.0,0,4
0,5000,6.03,A,MEDICAL,0.11,27,45000,MORTGAGE,4.0,0,9
0,4500,5.79,A,PERSONAL,0.2,31,23000,OWN,13.0,0,9
0,7000,10.0,B,VENTURE,0.16,27,44400,RENT,7.0,0,6
1,25000,19.41,F,HOMEIMPROVEMENT,0.35,44,72136,RENT,7.0,0,17
0,18000,10.65,B,HOMEIMPROVEMENT,0.29,28,63000,RENT,12.0,0,9
0,8800,8.49,A,MEDICAL,0.18,29,48000,RENT,1.0,0,9
0,4000,10.99,A,DEBTCONSOLIDATION,0.1,31,41004,MORTGAGE,5.0,0,5
1,4000,19.03,E,EDUCATION,0.21,25,19200,RENT,6.0,1,4
0,24375,10.37,B,VENTURE,0.44,37,55000,OWN,2.0,0,13
0,7200,9.91,B,DEBTCONSOLIDATION,0.08,26,90000,RENT,1.0,0,2
0,20000,7.49,A,EDUCATION,0.33,23,60000,OWN,8.0,0,3
0,5000,9.63,A,EDUCATION,0.05,23,95004,RENT,2.0,0,4
0,2400,8.0,A,PERSONAL,0.04,24,54000,RENT,5.0,0,3
0,5500,5.42,A,VENTURE,0.15,23,36000,OWN,4.0,0,3
0,10000,10.99,A,MEDICAL,0.26,28,38400,MORTGAGE,0.0,0,6
0,7000,6.17,A,EDUCATION,0.1,23,72000,MORTGAGE,7.0,0,3
0,4500,6.03,A,DEBTCONSOLIDATION,0.11,21,42000,RENT,4.0,0,4
0,1500,9.32,A,DEBTCONSOLIDATION,0.03,40,49788,RENT,1.0,0,16
0,10000,7.49,A,VENTURE,0.11,27,90000,RENT,4.0,0,9
0,3000,6.91,A,VENTURE,0.13,28,24000,OWN,4.0,0,5
0,12000,9.99,B,VENTURE,0.36,25,33600,MORTGAGE,1.0,0,3
0,6300,14.35,C,EDUCATION,0.21,23,30000,RENT,0.0,0,4
0,11500,13.48,C,PERSONAL,0.29,37,39600,RENT,2.0,0,15
0,5400,8.9,A,MEDICAL,0.11,21,47000,MORTGAGE,2.0,0,3
0,2000,7.66,A,PERSONAL,0.04,24,46000,MORTGAGE,8.0,0,2
0,15000,11.14,B,VENTURE,0.23,30,66000,MORTGAGE,15.0,0,8
0,11050,7.49,A,EDUCATION,0.35,22,32000,MORTGAGE,4.0,0,2
0,5000,9.32,A,PERSONAL,0.11,21,46800,RENT,2.0,0,3
0,13000,9.32,A,PERSONAL,0.14,35,90000,RENT,4.0,0,9
0,15000,12.18,B,MEDICAL,0.16,40,95892,OWN,19.0,0,14
1,6500,10.99,B,DEBTCONSOLIDATION,0.33,22,20000,RENT,1.0,0,2
0,6500,7.49,A,EDUCATION,0.04,35,170000,MORTGAGE,6.0,0,10
0,6000,6.76,A,VENTURE,0.07,28,92000,MORTGAGE,5.0,0,9
1,14850,8.9,A,DEBTCONSOLIDATION,0.47,25,31500,RENT,8.0,0,4
0,15000,10.99,A,PERSONAL,0.17,27,90000,MORTGAGE,4.0,0,6
0,2500,6.39,A,PERSONAL,0.04,24,65000,MORTGAGE,8.0,0,3
1,15000,10.99,D,PERSONAL,0.48,22,31000,RENT,6.0,1,4
0,2000,6.76,A,VENTURE,0.04,22,48255,RENT,3.0,0,2
0,15025,6.03,A,EDUCATION,0.31,30,49200,MORTGAGE,12.0,0,8
0,12000,12.69,B,PERSONAL,0.08,54,154000,MORTGAGE,1.0,0,26
1,3000,6.17,A,DEBTCONSOLIDATION,0.07,37,42000,MORTGAGE,4.0,0,13
0,11000,12.53,B,EDUCATION,0.26,30,42000,RENT,2.0,0,9
0,9000,13.22,C,PERSONAL,0.2,24,46000,RENT,4.0,0,3
1,24000,7.9,A,DEBTCONSOLIDATION,0.39,26,62004,RENT,9.0,0,3
0,9600,6.99,A,EDUCATION,0.19,24,50000,MORTGAGE,8.0,0,3
0,5000,10.99,A,PERSONAL,0.09,27,53000,MORTGAGE,6.0,0,5
0,6275,6.91,A,HOMEIMPROVEMENT,0.05,33,135000,OWN,0.0,0,7
1,15000,7.88,A,MEDICAL,0.34,32,44400,RENT,13.0,0,9
0,6400,8.9,A,EDUCATION,0.2,23,32000,RENT,4.0,0,4
0,2500,13.49,C,EDUCATION,0.06,26,43000,RENT,3.0,0,2
0,2500,11.71,B,DEBTCONSOLIDATION,0.05,23,48000,MORTGAGE,7.0,0,3
0,12500,15.33,D,VENTURE,0.17,23,75000,OWN,5.0,1,3
0,5000,6.99,A,MEDICAL,0.13,22,39000,RENT,4.0,0,2
1,8000,13.61,C,PERSONAL,0.32,23,25000,RENT,6.0,1,4
1,21500,16.89,D,MEDICAL,0.36,24,59000,RENT,5.0,0,3
0,5000,7.51,A,EDUCATION,0.18,22,27360,RENT,5.0,0,2
0,15000,10.99,D,PERSONAL,0.17,26,90000,RENT,8.0,1,3
1,5000,13.92,C,PERSONAL,0.07,25,67000,RENT,9.0,1,4
0,1800,9.63,B,VENTURE,0.02,35,100000,MORTGAGE,19.0,0,8
1,5000,14.22,C,EDUCATION,0.3,24,16800,RENT,1.0,1,4
0,15000,8.49,A,VENTURE,0.19,26,80000,RENT,11.0,0,2
0,1600,11.14,B,DEBTCONSOLIDATION,0.02,23,70000,RENT,7.0,0,4
0,7500,5.79,A,MEDICAL,0.08,33,99300,MORTGAGE,11.0,0,7
0,8200,5.79,A,EDUCATION,0.05,25,150000,MORTGAGE,9.0,0,3
0,10400,11.66,C,HOMEIMPROVEMENT,0.18,25,57300,RENT,2.0,1,4
0,6000,10.0,B,DEBTCONSOLIDATION,0.12,31,50100,RENT,5.0,0,5
0,5000,14.82,C,EDUCATION,0.13,24,39996,MORTGAGE,4.0,1,3
0,11000,7.14,A,VENTURE,0.16,23,70000,OWN,4.0,0,4
0,4800,7.49,A,EDUCATION,0.08,22,60000,MORTGAGE,1.0,0,3
0,5850,7.49,A,VENTURE,0.1,24,60000,RENT,4.0,0,3
