number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_fold_auc,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.8996273174792497,2026-09-08 13:38:12.203651,2026-09-08 13:38:16.118846,0 days 00:00:03.915195,0.9,0.0,0.05,3,5.0,800,0.1,5.0,1.0,0.9,"[0.9030209801923533, 0.896628317544242, 0.9031558229456023, 0.8958793394659335, 0.8994521272481172]","{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.1, 'reg_lambda': 5.0, 'gamma': 0.0, 'scale_pos_weight': 1.0}",,COMPLETE
1,0.9030533983656224,2026-09-08 13:38:16.142850,2026-09-08 13:38:20.695014,0 days 00:00:04.552164,0.9,0.0,0.05,5,5.0,800,0.1,5.0,1.0,0.9,"[0.9054456371529473, 0.8988072428403451, 0.9072573598179762, 0.8984070129398791, 0.9053497390769634]","{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.1, 'reg_lambda': 5.0, 'gamma': 0.0, 'scale_pos_weight': 1.0}",,COMPLETE
2,0.9024019471924951,2026-09-08 13:38:20.698015,2026-09-08 13:38:25.306036,0 days 00:00:04.608021,0.9,0.0,0.05,5,5.0,800,0.1,5.0,3.5,0.9,"[0.9057605494214046, 0.8971608382903629, 0.9071047892907494, 0.8981094096790854, 0.9038741492808735]","{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.1, 'reg_lambda': 5.0, 'gamma': 0.0, 'scale_pos_weight': 3.5}",,COMPLETE
3,0.9033599982331466,2026-09-08 13:38:25.310035,2026-09-08 13:38:29.290519,0 days 00:00:03.980484,0.9,0.0,0.05,4,5.0,800,0.1,5.0,2.0,0.9,"[0.9063797652116864, 0.9013556951112196, 0.9065768645570151, 0.8989234913943522, 0.9035641748914601]","{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.1, 'reg_lambda': 5.0, 'gamma': 0.0, 'scale_pos_weight': 2.0}",,COMPLETE
4,0.8921294931840901,2026-09-08 13:38:29.293519,2026-09-08 13:38:33.306890,0 days 00:00:04.013371,0.7467983561008608,0.6011150117432088,0.14601142634292896,6,7.6611007077713635,600,0.00019517224641449495,13.983740016490973,3.832290311184182,0.7468055921327309,"[0.8934017783609488, 0.8893831885879799, 0.8970248049246918, 0.8843280894484848, 0.8965096045983443]",,,COMPLETE
5,0.8968464151317666,2026-09-08 13:38:33.311892,2026-09-08 13:38:35.400634,0 days 00:00:02.088742,0.7550213529560301,0.43194501864211576,0.15130800602103608,6,2.0589728197687913,300,0.0033205591037519565,1.9947354703074498,2.1649165607921677,0.7545474901621302,"[0.901061433018328, 0.8914808960973318, 0.9000092128589177, 0.890701712754226, 0.9009788209300293]",,,COMPLETE
6,0.8972669291203796,2026-09-08 13:38:35.405636,2026-09-08 13:38:39.847830,0 days 00:00:04.442194,0.935552788417904,0.5924145688620425,0.032388972115828064,3,3.4766491505926194,900,0.0009962513222055108,1.8785426399210623,1.185801650879991,0.8368209952651108,"[0.9012900794260109, 0.8955177829274631, 0.9008389285165901, 0.8922941414592611, 0.8963937132725728]",,,COMPLETE
7,0.8828356023656717,2026-09-08 13:38:39.851831,2026-09-08 13:38:43.835335,0 days 00:00:03.983504,0.9425192044349383,0.6842330265121569,0.03430940150526567,2,25.212679047779208,900,0.0033347927286375843,0.17456037635797406,2.760609974958405,0.9896896099223678,"[0.8829213138095172, 0.8819048724810973, 0.888209494828236, 0.8788118203771689, 0.88233051033234]",,,COMPLETE
8,0.8789344572662594,2026-09-08 13:38:43.839336,2026-09-08 13:38:45.719118,0 days 00:00:01.879782,0.8987566853061946,0.5467102793432796,0.06268183720877576,2,22.038218939289873,400,0.003618723330959626,1.9420998251718031,1.7394178221021082,0.777633994480005,"[0.8794187523555603, 0.8783402210296015, 0.8842904004801854, 0.8738901994723545, 0.8787327129935958]",,,COMPLETE
9,0.8897826819454042,2026-09-08 13:38:45.723119,2026-09-08 13:38:54.272649,0 days 00:00:08.549530,0.976562270506935,0.045227288910538066,0.10539901883940385,7,20.978213384576815,1200,0.0002769889922756284,0.3058252321378967,2.3013213230530574,0.8793699936433255,"[0.8893932076103799, 0.8854864094174676, 0.895451081115035, 0.8842876087047558, 0.8942951028793829]",,,COMPLETE
10,0.9008068169270695,2026-09-08 13:38:54.275651,2026-09-08 13:38:58.847818,0 days 00:00:04.572167,0.8628088249474746,0.07455064367977082,0.04137101385726727,6,3.3648671441879534,600,0.0005065486063975355,9.708210658008557,4.947547746402069,0.7842803529062142,"[0.9025315819595472, 0.8975183640114219, 0.9048737419561971, 0.8957551054593169, 0.9033552912488646]",,,COMPLETE
